,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment
291,71185679,05-2920,72008308,Male,Tenm2,56.0,coronal,ISH
292,72640,04-0180,276070,Male,Atp5sl,56.0,coronal,ISH
293,6311,350-5394,100093572,Male,Eomes,28.0,coronal,ISH
294,72640,04-0180,276072,Male,Tmem126a,56.0,coronal,ISH
295,69619392,05-1627,70436316,Male,Ptp4a1,56.0,coronal,ISH
296,6311,350-5394,100093573,Male,Ttr,28.0,coronal,ISH
297,72010445,05-3375,73994671,Male,Ids,56.0,coronal,ISH
298,703272,350-8990,100093533,Male,Gbx2,14.0,coronal,ISH
299,355061,04-0625,67779684,Male,Mapt,56.0,coronal,ISH
300,70101632,05-2120,70805895,Male,Eepd1,56.0,coronal,ISH
301,72134960,05-3385,73997149,Male,Pkp2,56.0,coronal,ISH
302,69914393,05-1870,70560342,Male,Cckbr,56.0,coronal,ISH
303,68663393,05-0384,69120553,Male,Plp1,56.0,coronal,ISH
304,75750186,06-0676,76097697,Male,Gabrd,56.0,coronal,ISH
305,72611,04-0173,275871,Male,Gdap2,56.0,coronal,ISH
306,71061933,05-2821,71836855,Male,Adcy4,56.0,coronal,ISH
307,45786,04-0059,101289,Male,Lpar1,56.0,coronal,ISH
308,5230,350-3601,100051544,unknown,Slc6a4,13.5,coronal,ISH
309,71456196,05-3168,73636088,Male,Kcnj2,56.0,coronal,ISH
310,378473,04-0658,67779874,Male,Lpar1,56.0,coronal,ISH
311,83963,04-0235,355888,Male,Xlr3a,56.0,coronal,ISH
312,5231,350-3602,100051563,unknown,Calb1,13.5,coronal,ISH
313,5231,350-3602,100051540,unknown,Shh,13.5,coronal,ISH
314,5230,350-3601,100051541,unknown,Wnt2,13.5,coronal,ISH
315,70073437,05-2089,70743897,Male,Itpka,56.0,coronal,ISH
316,79355608,335-1132,79591335,Male,Pbx3,56.0,coronal,ISH
317,83963,04-0235,355891,Male,Pdxdc1,56.0,coronal,ISH
318,45758,04-0052,83160,Male,Camk2a,56.0,coronal,ISH
319,70929707,05-2701,71670739,Male,Midn,56.0,coronal,ISH
320,79355491,335-1125,79567501,Male,Adcy2,56.0,coronal,ISH
321,77529362,07-0118,77869097,Male,Col6a1,56.0,coronal,ISH
322,70404835,05-2344,71063828,Male,Calca,56.0,coronal,ISH
323,83999,04-0244,356851,Male,Aco1,56.0,coronal,ISH
324,72135259,05-3394,74047758,Male,C4b,56.0,coronal,ISH
325,75448857,06-0608,76115735,Male,Myh14,56.0,coronal,ISH
326,72008727,05-3349,73931639,Male,Fam129a,56.0,coronal,ISH
327,77281682,07-0023,77371823,Male,Ankrd24,56.0,coronal,ISH
328,71887479,05-3274,73817926,Male,Parm1,56.0,coronal,ISH
329,700643,04-0819,67936015,Male,Eif1b,56.0,coronal,ISH
330,72611,04-0173,275872,Male,Edc3,56.0,coronal,ISH
331,72147825,05-3407,74047900,Male,Haghl,56.0,coronal,ISH
332,75335336,06-0560,75934528,Male,Upb1,56.0,coronal,ISH
333,72482,04-0141,227168,Male,Ddx19b,56.0,coronal,ISH
334,69965091,05-1966,70612724,Male,Spp1,56.0,coronal,ISH
335,83971,04-0237,356091,Male,Zfp932,56.0,coronal,ISH
336,70911447,05-2686,71670730,Male,Slc9a9,56.0,coronal,ISH
337,700631,04-0821,67936205,Male,Pvalb,56.0,coronal,ISH
338,83797,04-0194,293470,Male,Tinf2,56.0,coronal,ISH
339,72676,04-0189,293467,Male,Slc31a2,56.0,coronal,ISH
340,71185679,05-2920,72008307,Male,Plcxd2,56.0,coronal,ISH
341,70006080,05-1997,70615594,Male,Laptm4b,56.0,coronal,ISH
342,104496,04-0351,655309,Male,Mtmr7,56.0,coronal,ISH
343,702625,2110,670,Male,Marcksl1,56.0,coronal,ISH
344,101457,04-0295,544521,Male,Atp6v1e1,56.0,coronal,ISH
345,79355604,335-1131,79589526,Male,Tpbg,56.0,coronal,ISH
346,77591283,07-0147,77874618,Male,Sema5a,56.0,coronal,ISH
347,71061993,05-2825,71836873,Male,Smdt1,56.0,coronal,ISH
348,703382,350-9184,100092536,Male,Ttr,4.0,coronal,ISH
349,703272,350-8990,100093555,Male,Rarb,14.0,coronal,ISH
350,83967,04-0236,356085,Male,Tbc1d8,56.0,coronal,ISH
351,5269,350-3659,100051644,unknown,Pitx2,13.5,coronal,ISH
352,5230,350-3601,100051545,unknown,Tcf4,13.5,coronal,ISH
353,5266,350-3656,100051561,unknown,Dll1,13.5,coronal,ISH
354,5266,350-3656,100051560,unknown,Dach2,13.5,coronal,ISH
355,101473,04-0299,544710,Male,Fam65a,56.0,coronal,ISH
356,5269,350-3659,100051665,unknown,Pax6,13.5,coronal,ISH
357,6311,350-5394,100093575,Male,Neurod1,28.0,coronal,ISH
358,33700,04-0023,45665,Male,Mef2c,56.0,coronal,ISH
359,5272,350-3662,100052731,unknown,Tal2,13.5,coronal,ISH
360,72624,04-0176,276065,Male,Ntpcr,56.0,coronal,ISH
361,6493,350-5756,100077747,Male,Plcb4,4.0,coronal,ISH
362,6493,350-5756,100059186,Male,Pax2,4.0,coronal,ISH
363,6493,350-5756,100059185,Male,Bhlhe23,4.0,coronal,ISH
364,72656,04-0184,293028,Male,Slc35b4,56.0,coronal,ISH
365,5266,350-3656,100051562,unknown,Otx2,13.5,coronal,ISH
366,72332,04-0104,199396,Male,Traip,56.0,coronal,ISH
367,5268,350-3658,100051647,unknown,Nrp1,13.5,coronal,ISH
368,6309,350-5392,100093564,Male,Isl1,28.0,coronal,ISH
369,703598,350-9401,100093878,Male,Dll1,4.0,coronal,ISH
370,70145695,05-2190,70928170,Male,Arl6ip5,56.0,coronal,ISH
371,5272,350-3662,100052736,unknown,Plcb4,13.5,coronal,ISH
372,5267,350-3657,100051621,unknown,Cdh4,13.5,coronal,ISH
373,5267,350-3657,100051620,unknown,Epha4,13.5,coronal,ISH
374,5267,350-3657,100051622,unknown,Hoxa3,13.5,coronal,ISH
375,5268,350-3658,100051646,unknown,Dbx1,13.5,coronal,ISH
376,5273,350-3663,100051577,unknown,Bhlhe23,13.5,coronal,ISH
377,5273,350-3663,100051576,unknown,Evx1,13.5,coronal,ISH
378,72462,04-0136,227538,Male,Sorcs1,56.0,coronal,ISH
379,5271,350-3661,100052719,unknown,Pax5,13.5,coronal,ISH
380,5271,350-3661,100052718,unknown,Nkx2-2,13.5,coronal,ISH
381,5271,350-3661,100052717,unknown,Hoxa4,13.5,coronal,ISH
382,73633995,05-3716,74581398,Male,Col10a1,56.0,coronal,ISH
383,5271,350-3661,100052716,unknown,Foxp1,13.5,coronal,ISH
384,77232675,07-0001,77278969,Male,Apoe,56.0,coronal,ISH
385,71571396,05-3213,73788021,Male,Gabrq,56.0,coronal,ISH
386,83797,04-0194,293473,Male,Pxylp1,56.0,coronal,ISH
387,69744830,05-1763,70436745,Male,Tpbg,56.0,coronal,ISH
388,74833951,06-0306,75038453,Male,Adamts18,56.0,coronal,ISH
389,693420,04-0810,67936007,Male,Wnt5a,56.0,coronal,ISH
390,71393115,05-3096,73512498,Male,Cd164,56.0,coronal,ISH
391,642837,04-0778,67855418,Male,Slc27a1,56.0,coronal,ISH
392,70911361,05-2687,71670733,Male,Tas2r144,56.0,coronal,ISH
393,6311,350-5394,100093576,Male,Lmx1a,28.0,coronal,ISH
394,71393089,05-3094,73512482,Male,H2-T23,56.0,coronal,ISH
395,68740666,05-0455,69120566,Male,Calb1,56.0,coronal,ISH
396,70494580,05-2416,71358613,Male,Vat1l,56.0,coronal,ISH
397,70803407,05-2599,71587941,Male,Taar9,56.0,coronal,ISH
398,70298669,05-2253,71015351,Male,Efr3a,56.0,coronal,ISH
399,641743,04-0777,67855411,Male,Aipl1,56.0,coronal,ISH
400,5080,350-3379,100041678,unknown,Gsx1,11.5,coronal,ISH
401,6493,350-5756,100059161,Male,Tal2,4.0,coronal,ISH
402,70006130,05-2014,70615596,Male,Dedd,56.0,coronal,ISH
403,71250800,05-2979,72119653,Male,Ccr3,56.0,coronal,ISH
404,72640,04-0180,276076,Male,Hiatl1,56.0,coronal,ISH
405,83914,04-0223,324010,Male,Man2b1,56.0,coronal,ISH
406,77232711,07-0010,77332084,Male,Gpr139,56.0,coronal,ISH
407,70404815,05-2357,71064205,Male,6430573F11Rik,56.0,coronal,ISH
408,4889,350-3069,100045673,Male,Msx1,28.0,coronal,ISH
409,3247,350-0697,100041639,unknown,Neurog2,11.5,coronal,ISH
410,70309795,05-2273,71015808,Male,Bdnf,56.0,coronal,ISH
411,45786,04-0059,104611,Male,Rap1gds1,56.0,coronal,ISH
412,72656,04-0184,293033,Male,Cyhr1,56.0,coronal,ISH
413,6493,350-5756,100059160,Male,Cdh7,4.0,coronal,ISH
414,4884,350-3064,100045657,Male,Dach2,28.0,coronal,ISH
415,45697,04-0037,61414,Male,Ackr1,56.0,coronal,ISH
416,5080,350-3379,100041786,unknown,Slc17a6,11.5,coronal,ISH
417,6493,350-5756,100059159,Male,Jag1,4.0,coronal,ISH
418,84011,04-0247,357091,Male,Arhgap27,56.0,coronal,ISH
419,79355608,335-1132,79591333,Male,Tsfm,56.0,coronal,ISH
420,71571412,05-3212,73787950,Male,Cd24a,56.0,coronal,ISH
421,83809,04-0197,293693,Male,Rmdn1,56.0,coronal,ISH
422,4889,350-3069,100045546,Male,Tlx3,28.0,coronal,ISH
423,4889,350-3069,100045544,Male,Evx1,28.0,coronal,ISH
424,45758,04-0052,83162,Male,Dlg4,56.0,coronal,ISH
425,642837,04-0778,67855417,Male,Cysltr1,56.0,coronal,ISH
426,71571404,05-3217,73788083,Male,Rcn1,56.0,coronal,ISH
427,305626533,310-152933,308056322,Male,Efna1,56.0,coronal,ISH
428,101554,04-0319,544707,Male,Trhde,56.0,coronal,ISH
429,71571392,05-3211,73787948,Male,Met,56.0,coronal,ISH
430,83801,04-0195,293667,Male,Spsb4,56.0,coronal,ISH
431,70911361,05-2687,71670738,Male,Pcdh20,56.0,coronal,ISH
432,702872,2438,2115,Male,Nudt21,56.0,coronal,ISH
433,702872,2438,2495,Male,Pparg,56.0,coronal,ISH
434,77466876,321-0243,78557703,Male,Cacna2d1,56.0,coronal,ISH
435,77466876,321-0243,78557158,Male,Wfs1,56.0,coronal,ISH
